ObjectiveID,Level,50% SS,75% SS
2478,E,428,485
2478,M,449,518
2478,D,475,547
2478,A,481,553
2479,E,444,498
2479,M,464,536
2479,D,475,544
2479,A,480,549
2481,E,456,505
2481,M,475,553
2481,D,485,562
2481,A,503,578
