Content,ScaleID,Loss,Hoss,Level
RD,TABE_RD_E,175,630,E
RD,TABE_RD_M,255,702,M
RD,TABE_RD_D,285,778,D
RD,TABE_RD_A,300,812,A
MC,TABE_MC_E,235,546,E
MC,TABE_MC_M,245,622,M
MC,TABE_MC_D,255,687,D
MC,TABE_MC_A,290,755,A
AM,TABE_AM_E,200,652,E
AM,TABE_AM_M,240,716,M
AM,TABE_AM_D,317,781,D
AM,TABE_AM_A,375,795,A
LA,TABE_LA_E,235,803,E
LA,TABE_LA_M,260,807,M
LA,TABE_LA_D,295,810,D
LA,TABE_LA_A,337,826,A
