ObjectiveID,Level,50% SS,75% SS
3118,E,386,461
3118,M,426,492
3118,D,448,513
3118,A,491,559
3119,E,417,476
3119,M,466,525
3119,D,497,565
3119,A,517,596
3120,E,399,476
3120,M,458,514
3120,D,479,552
3120,A,484,561
