ObjectiveID,Level,50% SS,75% SS
2498,E,416,468
2498,M,463,526
2498,D,526,598
2498,A,606,669
2500,E,429,482
2500,M,466,532
2500,D,496,569
2500,A,547,610
2501,E,388,444
2501,M,513,575
2501,D,521,589
2501,A,567,628
2502,E,410,488
2502,M,407,512
2502,D,553,628
2502,A,543,615
2504,E,435,489
2504,M,477,552
2504,D,507,590
2504,A,557,645
2505,E,404,460
2505,M,464,535
2505,D,561,631
2505,A,570,654
2506,E,463,507
2506,M,495,557
2506,D,522,594
2506,A,610,668
