ObjectiveID,Beginning Mastery,Partial Mastery,Mastery,Advanced Mastery
2498,416,526,598,669
2500,429,532,569,610
2501,388,575,589,628
2502,410,512,615,628
2504,435,552,590,645
2505,404,535,631,654
2506,463,557,594,668
