Sub-tests,N,MEAN,SD,MIN,MAX
RD,9970,511.4,92.06,175,812
MC,9991,498.68,80.76,235,755
AM,9835,504.86,83.66,200,795
LA,9371,501.58,81.68,235,826
VO,9654,517.87,111.27,175,812
LM,9434,501.51,99.76,235,826
SP,9396,492.25,98.78,220,745
,,,,,
