ObjectiveID,Level,50% SS,75% SS,
3125,E,381,434,
3125,M,395,458,
3125,D,439,507,
3125,A,439,507,c
3126,E,391,433,
3126,M,461,521,
3126,D,489,562,
3126,A,533,586,
3130,E,551,603,c
3130,M,551,603,c
3130,D,551,603,
3130,A,571,630,
3131,E,538,598,c
3131,M,538,598,c
3131,D,538,598,c
3131,A,538,598
